CellID,Time(s),x(microns),y(microns)
154,2.845e+00,8.568e+01,5.984e+02
154,5.690e+00,8.561e+01,5.984e+02
154,8.535e+00,8.562e+01,5.982e+02
154,1.138e+01,8.541e+01,5.982e+02
154,1.423e+01,8.512e+01,5.979e+02
154,1.707e+01,8.506e+01,5.977e+02
154,1.992e+01,8.491e+01,5.978e+02
154,2.276e+01,8.471e+01,5.973e+02
154,2.561e+01,8.458e+01,5.971e+02
154,2.845e+01,8.461e+01,5.976e+02
154,3.130e+01,8.469e+01,5.973e+02
154,3.414e+01,8.475e+01,5.972e+02
154,3.698e+01,8.452e+01,5.971e+02
154,3.983e+01,8.461e+01,5.971e+02
154,4.268e+01,8.473e+01,5.972e+02
154,4.552e+01,8.452e+01,5.971e+02
154,4.837e+01,8.425e+01,5.968e+02
154,5.121e+01,8.459e+01,5.968e+02
154,5.406e+01,8.460e+01,5.970e+02
154,5.690e+01,8.437e+01,5.971e+02
154,5.975e+01,8.444e+01,5.969e+02
154,6.259e+01,8.449e+01,5.967e+02
154,6.544e+01,8.443e+01,5.969e+02
154,6.828e+01,8.472e+01,5.970e+02
154,7.112e+01,8.461e+01,5.965e+02
154,7.397e+01,8.444e+01,5.963e+02
154,7.682e+01,8.475e+01,5.967e+02
154,7.966e+01,8.476e+01,5.970e+02
154,8.251e+01,8.456e+01,5.967e+02
154,8.535e+01,8.441e+01,5.963e+02
154,8.820e+01,8.411e+01,5.962e+02
154,9.104e+01,8.444e+01,5.964e+02
154,9.389e+01,8.447e+01,5.964e+02
154,9.673e+01,8.444e+01,5.960e+02
154,9.958e+01,8.445e+01,5.959e+02
154,1.024e+02,8.473e+01,5.966e+02
154,1.053e+02,8.476e+01,5.969e+02
154,1.081e+02,8.480e+01,5.967e+02
154,1.110e+02,8.483e+01,5.967e+02
154,1.138e+02,8.489e+01,5.970e+02
154,1.166e+02,8.482e+01,5.969e+02
154,1.195e+02,8.485e+01,5.967e+02
154,1.223e+02,8.454e+01,5.966e+02
154,1.252e+02,8.433e+01,5.964e+02
154,1.280e+02,8.485e+01,5.970e+02
154,1.309e+02,8.467e+01,5.967e+02
154,1.337e+02,8.438e+01,5.966e+02
154,1.366e+02,8.444e+01,5.965e+02
154,1.394e+02,8.462e+01,5.965e+02
154,1.422e+02,8.451e+01,5.966e+02
154,1.451e+02,8.439e+01,5.966e+02
154,1.479e+02,8.431e+01,5.959e+02
154,1.508e+02,8.437e+01,5.960e+02
