CellID,Time(s),x(microns),y(microns)
163,2.845e+00,9.511e+02,2.304e+02
163,5.690e+00,9.503e+02,2.313e+02
163,8.535e+00,9.503e+02,2.311e+02
163,1.138e+01,9.502e+02,2.308e+02
163,1.423e+01,9.506e+02,2.310e+02
163,1.707e+01,9.503e+02,2.310e+02
163,1.992e+01,9.497e+02,2.307e+02
163,2.276e+01,9.495e+02,2.309e+02
163,2.561e+01,9.495e+02,2.314e+02
163,3.130e+01,9.496e+02,2.327e+02
163,3.414e+01,9.492e+02,2.304e+02
163,3.698e+01,9.496e+02,2.325e+02
163,3.983e+01,9.493e+02,2.312e+02
163,4.268e+01,9.494e+02,2.325e+02
163,4.552e+01,9.492e+02,2.330e+02
163,4.837e+01,9.490e+02,2.332e+02
163,5.121e+01,9.487e+02,2.338e+02
163,5.406e+01,9.482e+02,2.335e+02
163,5.690e+01,9.481e+02,2.337e+02
163,5.975e+01,9.457e+02,2.342e+02
163,6.259e+01,9.470e+02,2.342e+02
163,6.544e+01,9.451e+02,2.345e+02
163,6.828e+01,9.436e+02,2.347e+02
163,8.251e+01,9.437e+02,2.334e+02
163,8.535e+01,9.435e+02,2.332e+02
163,8.820e+01,9.433e+02,2.330e+02
163,9.104e+01,9.426e+02,2.330e+02
163,9.389e+01,9.420e+02,2.332e+02
163,9.673e+01,9.415e+02,2.338e+02
163,9.958e+01,9.405e+02,2.340e+02
163,1.024e+02,9.396e+02,2.346e+02
163,1.053e+02,9.395e+02,2.347e+02
163,1.081e+02,9.382e+02,2.347e+02
163,1.110e+02,9.376e+02,2.354e+02
163,1.138e+02,9.371e+02,2.360e+02
163,1.166e+02,9.361e+02,2.365e+02
163,1.195e+02,9.352e+02,2.367e+02
163,1.223e+02,9.350e+02,2.365e+02
163,1.252e+02,9.344e+02,2.362e+02
163,1.280e+02,9.336e+02,2.362e+02
163,1.309e+02,9.330e+02,2.360e+02
163,1.337e+02,9.319e+02,2.363e+02
163,1.366e+02,9.312e+02,2.368e+02
163,1.394e+02,9.303e+02,2.370e+02
163,1.422e+02,9.294e+02,2.370e+02
163,1.451e+02,9.282e+02,2.370e+02
163,1.479e+02,9.273e+02,2.369e+02
163,1.508e+02,9.262e+02,2.367e+02
163,1.536e+02,9.255e+02,2.365e+02
163,1.565e+02,9.250e+02,2.362e+02
163,1.593e+02,9.249e+02,2.359e+02
163,1.622e+02,9.244e+02,2.359e+02
163,1.650e+02,9.241e+02,2.357e+02
163,1.679e+02,9.243e+02,2.358e+02
163,1.707e+02,9.237e+02,2.358e+02
163,1.735e+02,9.231e+02,2.356e+02
163,1.764e+02,9.226e+02,2.355e+02
163,1.792e+02,9.227e+02,2.359e+02
163,1.821e+02,9.227e+02,2.363e+02
163,1.849e+02,9.218e+02,2.364e+02
163,1.878e+02,9.211e+02,2.362e+02
163,1.906e+02,9.203e+02,2.361e+02
163,1.935e+02,9.197e+02,2.361e+02
163,1.963e+02,9.195e+02,2.358e+02
163,1.992e+02,9.189e+02,2.356e+02
163,2.020e+02,9.188e+02,2.353e+02
163,2.048e+02,9.178e+02,2.338e+02
163,2.077e+02,9.176e+02,2.341e+02
163,2.105e+02,9.169e+02,2.340e+02
163,2.134e+02,9.159e+02,2.342e+02
163,2.162e+02,9.155e+02,2.345e+02
163,2.191e+02,9.155e+02,2.347e+02
163,2.219e+02,9.147e+02,2.350e+02
163,2.248e+02,9.142e+02,2.351e+02
163,2.276e+02,9.140e+02,2.352e+02
163,2.304e+02,9.139e+02,2.343e+02
163,2.333e+02,9.144e+02,2.341e+02
163,2.361e+02,9.148e+02,2.347e+02
163,2.390e+02,9.140e+02,2.352e+02
163,2.418e+02,9.137e+02,2.354e+02
163,2.447e+02,9.123e+02,2.356e+02
163,2.475e+02,9.120e+02,2.355e+02
163,2.504e+02,9.118e+02,2.354e+02
163,2.532e+02,9.111e+02,2.348e+02
163,2.561e+02,9.116e+02,2.335e+02
163,2.589e+02,9.110e+02,2.338e+02
163,2.617e+02,9.109e+02,2.339e+02
163,2.646e+02,9.113e+02,2.333e+02
163,2.674e+02,9.116e+02,2.330e+02
163,2.703e+02,9.120e+02,2.325e+02
163,2.731e+02,9.120e+02,2.321e+02
163,2.760e+02,9.125e+02,2.315e+02
163,2.788e+02,9.126e+02,2.312e+02
163,2.817e+02,9.129e+02,2.306e+02
168,3.983e+01,3.223e+02,1.111e+03
168,4.268e+01,3.213e+02,1.113e+03
168,4.552e+01,3.210e+02,1.113e+03
168,4.837e+01,3.212e+02,1.112e+03
168,5.121e+01,3.212e+02,1.111e+03
168,5.406e+01,3.209e+02,1.111e+03
168,5.690e+01,3.208e+02,1.112e+03
168,5.975e+01,3.211e+02,1.110e+03
168,6.259e+01,3.209e+02,1.109e+03
168,6.544e+01,3.212e+02,1.108e+03
168,6.828e+01,3.219e+02,1.108e+03
168,7.112e+01,3.223e+02,1.108e+03
168,7.397e+01,3.217e+02,1.108e+03
168,7.682e+01,3.218e+02,1.109e+03
168,7.966e+01,3.210e+02,1.108e+03
168,8.251e+01,3.202e+02,1.108e+03
168,8.535e+01,3.199e+02,1.108e+03
168,8.820e+01,3.194e+02,1.107e+03
168,9.104e+01,3.192e+02,1.106e+03
168,9.389e+01,3.192e+02,1.105e+03
168,9.673e+01,3.193e+02,1.104e+03
168,9.958e+01,3.197e+02,1.105e+03
168,1.024e+02,3.200e+02,1.104e+03
168,1.053e+02,3.204e+02,1.103e+03
168,1.081e+02,3.210e+02,1.101e+03
168,1.110e+02,3.217e+02,1.097e+03
168,1.138e+02,3.226e+02,1.098e+03
168,1.166e+02,3.225e+02,1.097e+03
168,1.195e+02,3.230e+02,1.098e+03
168,1.223e+02,3.237e+02,1.097e+03
168,1.252e+02,3.236e+02,1.093e+03
168,1.280e+02,3.239e+02,1.092e+03
168,1.309e+02,3.238e+02,1.093e+03
168,1.337e+02,3.241e+02,1.093e+03
168,1.366e+02,3.259e+02,1.094e+03
168,1.394e+02,3.249e+02,1.092e+03
168,1.422e+02,3.285e+02,1.094e+03
168,1.451e+02,3.294e+02,1.094e+03
168,1.479e+02,3.304e+02,1.094e+03
168,1.508e+02,3.307e+02,1.095e+03
168,1.536e+02,3.305e+02,1.094e+03
168,1.565e+02,3.314e+02,1.094e+03
168,1.593e+02,3.318e+02,1.094e+03
168,1.622e+02,3.333e+02,1.095e+03
168,1.650e+02,3.346e+02,1.095e+03
168,1.679e+02,3.356e+02,1.094e+03
168,1.707e+02,3.372e+02,1.094e+03
168,1.735e+02,3.379e+02,1.095e+03
168,1.764e+02,3.390e+02,1.094e+03
168,1.792e+02,3.401e+02,1.094e+03
168,1.821e+02,3.412e+02,1.094e+03
168,1.849e+02,3.408e+02,1.094e+03
168,1.878e+02,3.397e+02,1.094e+03
168,1.906e+02,3.404e+02,1.094e+03
168,1.935e+02,3.407e+02,1.093e+03
168,1.963e+02,3.420e+02,1.093e+03
168,1.992e+02,3.431e+02,1.093e+03
168,2.020e+02,3.428e+02,1.092e+03
168,2.048e+02,3.435e+02,1.093e+03
168,2.077e+02,3.461e+02,1.093e+03
168,2.105e+02,3.479e+02,1.094e+03
168,2.134e+02,3.477e+02,1.094e+03
168,2.162e+02,3.486e+02,1.096e+03
168,2.191e+02,3.506e+02,1.098e+03
168,2.219e+02,3.520e+02,1.099e+03
168,2.248e+02,3.539e+02,1.098e+03
168,2.276e+02,3.530e+02,1.099e+03
168,2.304e+02,3.533e+02,1.099e+03
168,2.333e+02,3.541e+02,1.101e+03
168,2.361e+02,3.540e+02,1.101e+03
168,2.390e+02,3.535e+02,1.100e+03
168,2.418e+02,3.537e+02,1.101e+03
168,2.447e+02,3.543e+02,1.099e+03
168,2.475e+02,3.544e+02,1.099e+03
168,2.504e+02,3.559e+02,1.098e+03
168,2.532e+02,3.559e+02,1.098e+03
168,2.561e+02,3.568e+02,1.098e+03
191,5.690e+00,1.486e+03,6.177e+02
191,8.535e+00,1.486e+03,6.180e+02
191,1.138e+01,1.486e+03,6.182e+02
191,1.423e+01,1.485e+03,6.183e+02
191,2.276e+01,1.485e+03,6.207e+02
191,2.561e+01,1.484e+03,6.208e+02
191,2.845e+01,1.483e+03,6.211e+02
191,3.130e+01,1.484e+03,6.215e+02
191,5.121e+01,1.486e+03,6.193e+02
