CellID,Time(s),x(microns),y(microns)
236,2.845e+00,7.843e+02,1.185e+03
236,5.690e+00,7.843e+02,1.185e+03
236,8.535e+00,7.843e+02,1.185e+03
236,1.138e+01,7.846e+02,1.185e+03
236,1.423e+01,7.837e+02,1.185e+03
236,1.707e+01,7.830e+02,1.188e+03
236,1.992e+01,7.829e+02,1.187e+03
236,2.276e+01,7.827e+02,1.188e+03
236,2.561e+01,7.823e+02,1.188e+03
236,2.845e+01,7.827e+02,1.188e+03
236,3.130e+01,7.829e+02,1.187e+03
236,3.414e+01,7.832e+02,1.188e+03
236,3.698e+01,7.831e+02,1.187e+03
236,3.983e+01,7.836e+02,1.187e+03
236,4.268e+01,7.837e+02,1.187e+03
236,4.552e+01,7.840e+02,1.186e+03
236,4.837e+01,7.842e+02,1.185e+03
236,5.121e+01,7.841e+02,1.185e+03
236,5.406e+01,7.840e+02,1.185e+03
236,5.690e+01,7.841e+02,1.185e+03
236,5.975e+01,7.843e+02,1.185e+03
236,6.259e+01,7.843e+02,1.185e+03
236,6.544e+01,7.840e+02,1.185e+03
236,6.828e+01,7.839e+02,1.186e+03
236,7.112e+01,7.837e+02,1.187e+03
236,7.397e+01,7.825e+02,1.191e+03
236,7.682e+01,7.823e+02,1.192e+03
236,7.966e+01,7.823e+02,1.191e+03
236,8.251e+01,7.820e+02,1.192e+03
236,8.535e+01,7.816e+02,1.193e+03
236,8.820e+01,7.800e+02,1.195e+03
236,9.104e+01,7.781e+02,1.195e+03
236,9.389e+01,7.773e+02,1.195e+03
236,9.673e+01,7.768e+02,1.195e+03
236,9.958e+01,7.764e+02,1.195e+03
236,1.024e+02,7.762e+02,1.195e+03
236,1.053e+02,7.759e+02,1.194e+03
236,1.081e+02,7.760e+02,1.194e+03
236,1.110e+02,7.759e+02,1.194e+03
236,1.138e+02,7.754e+02,1.194e+03
236,1.166e+02,7.753e+02,1.194e+03
236,1.195e+02,7.753e+02,1.194e+03
236,1.223e+02,7.750e+02,1.194e+03
236,1.252e+02,7.754e+02,1.194e+03
236,1.280e+02,7.753e+02,1.194e+03
236,1.309e+02,7.753e+02,1.194e+03
236,1.337e+02,7.755e+02,1.194e+03
236,1.366e+02,7.752e+02,1.194e+03
236,1.394e+02,7.750e+02,1.194e+03
236,1.422e+02,7.751e+02,1.194e+03
236,1.451e+02,7.751e+02,1.194e+03
236,1.479e+02,7.750e+02,1.194e+03
236,1.508e+02,7.750e+02,1.194e+03
236,1.536e+02,7.748e+02,1.194e+03
236,1.565e+02,7.748e+02,1.194e+03
236,1.593e+02,7.749e+02,1.194e+03
236,1.622e+02,7.746e+02,1.194e+03
236,1.650e+02,7.746e+02,1.194e+03
236,1.679e+02,7.744e+02,1.195e+03
236,1.707e+02,7.736e+02,1.195e+03
236,1.735e+02,7.736e+02,1.195e+03
236,1.764e+02,7.731e+02,1.195e+03
236,1.792e+02,7.726e+02,1.195e+03
