CellID,Time(s),x(microns),y(microns)
57,2.845e+00,1.182e+02,2.198e+02
57,5.690e+00,1.195e+02,2.203e+02
57,8.535e+00,1.202e+02,2.202e+02
57,1.138e+01,1.222e+02,2.206e+02
57,1.423e+01,1.228e+02,2.211e+02
57,1.707e+01,1.234e+02,2.213e+02
57,1.992e+01,1.243e+02,2.217e+02
57,2.276e+01,1.247e+02,2.217e+02
57,2.561e+01,1.255e+02,2.212e+02
57,2.845e+01,1.268e+02,2.216e+02
57,3.130e+01,1.275e+02,2.216e+02
57,3.414e+01,1.283e+02,2.220e+02
57,3.698e+01,1.291e+02,2.221e+02
57,3.983e+01,1.299e+02,2.223e+02
57,4.268e+01,1.310e+02,2.221e+02
57,4.552e+01,1.317e+02,2.218e+02
57,4.837e+01,1.322e+02,2.213e+02
57,5.121e+01,1.332e+02,2.206e+02
57,5.406e+01,1.340e+02,2.208e+02
57,5.690e+01,1.342e+02,2.208e+02
57,5.975e+01,1.344e+02,2.207e+02
57,6.259e+01,1.348e+02,2.211e+02
57,6.544e+01,1.348e+02,2.208e+02
57,6.828e+01,1.347e+02,2.206e+02
57,7.112e+01,1.353e+02,2.206e+02
57,7.397e+01,1.357e+02,2.203e+02
57,7.682e+01,1.361e+02,2.195e+02
57,7.966e+01,1.372e+02,2.188e+02
57,8.251e+01,1.381e+02,2.183e+02
57,8.535e+01,1.394e+02,2.175e+02
57,8.820e+01,1.399e+02,2.168e+02
57,9.104e+01,1.404e+02,2.172e+02
57,9.389e+01,1.403e+02,2.171e+02
57,9.673e+01,1.403e+02,2.167e+02
57,9.958e+01,1.399e+02,2.161e+02
57,1.024e+02,1.399e+02,2.156e+02
57,1.053e+02,1.402e+02,2.150e+02
57,1.081e+02,1.411e+02,2.140e+02
57,1.110e+02,1.418e+02,2.133e+02
57,1.138e+02,1.423e+02,2.131e+02
57,1.166e+02,1.424e+02,2.128e+02
57,1.195e+02,1.424e+02,2.125e+02
57,1.223e+02,1.414e+02,2.125e+02
57,1.252e+02,1.410e+02,2.115e+02
57,1.280e+02,1.406e+02,2.109e+02
57,1.309e+02,1.401e+02,2.101e+02
57,1.337e+02,1.402e+02,2.099e+02
57,1.366e+02,1.402e+02,2.098e+02
57,1.394e+02,1.397e+02,2.093e+02
57,1.422e+02,1.394e+02,2.091e+02
57,1.451e+02,1.400e+02,2.090e+02
57,1.479e+02,1.394e+02,2.083e+02
57,1.508e+02,1.389e+02,2.076e+02
57,1.536e+02,1.389e+02,2.071e+02
57,1.565e+02,1.388e+02,2.067e+02
57,1.593e+02,1.389e+02,2.066e+02
57,1.622e+02,1.393e+02,2.067e+02
57,1.650e+02,1.393e+02,2.067e+02
57,1.707e+02,1.378e+02,2.050e+02
57,1.735e+02,1.371e+02,2.045e+02
57,1.764e+02,1.368e+02,2.046e+02
57,1.792e+02,1.362e+02,2.041e+02
57,1.821e+02,1.361e+02,2.038e+02
57,1.849e+02,1.359e+02,2.036e+02
57,1.878e+02,1.358e+02,2.037e+02
57,1.906e+02,1.352e+02,2.032e+02
57,1.935e+02,1.353e+02,2.031e+02
57,1.963e+02,1.343e+02,2.024e+02
57,1.992e+02,1.331e+02,2.017e+02
57,2.020e+02,1.331e+02,2.016e+02
57,2.048e+02,1.332e+02,2.015e+02
57,2.077e+02,1.327e+02,2.014e+02
57,2.105e+02,1.330e+02,2.013e+02
57,2.134e+02,1.330e+02,2.013e+02
57,2.162e+02,1.322e+02,2.011e+02
57,2.191e+02,1.308e+02,2.005e+02
115,2.845e+00,1.471e+03,5.960e+02
115,5.690e+00,1.471e+03,5.960e+02
115,8.535e+00,1.471e+03,5.960e+02
