CellID,Time(s),x(microns),y(microns)
110,1.138e+01,1.030e+03,1.191e+03
110,3.130e+01,1.030e+03,1.191e+03
110,3.414e+01,1.029e+03,1.190e+03
110,3.698e+01,1.030e+03,1.190e+03
110,3.983e+01,1.029e+03,1.190e+03
110,4.268e+01,1.029e+03,1.189e+03
110,4.552e+01,1.029e+03,1.189e+03
110,4.837e+01,1.028e+03,1.189e+03
110,5.121e+01,1.028e+03,1.189e+03
110,5.406e+01,1.028e+03,1.189e+03
110,5.690e+01,1.027e+03,1.189e+03
110,5.975e+01,1.027e+03,1.188e+03
110,6.259e+01,1.027e+03,1.188e+03
110,6.544e+01,1.027e+03,1.188e+03
110,6.828e+01,1.027e+03,1.188e+03
110,7.112e+01,1.028e+03,1.188e+03
110,7.397e+01,1.029e+03,1.188e+03
110,7.682e+01,1.029e+03,1.188e+03
110,7.966e+01,1.029e+03,1.188e+03
110,8.251e+01,1.029e+03,1.187e+03
110,8.535e+01,1.030e+03,1.186e+03
110,8.820e+01,1.030e+03,1.186e+03
110,9.104e+01,1.031e+03,1.185e+03
110,9.389e+01,1.032e+03,1.185e+03
110,9.673e+01,1.032e+03,1.184e+03
110,9.958e+01,1.033e+03,1.182e+03
110,1.024e+02,1.032e+03,1.182e+03
110,1.053e+02,1.033e+03,1.181e+03
110,1.081e+02,1.033e+03,1.180e+03
110,1.110e+02,1.032e+03,1.179e+03
110,1.138e+02,1.032e+03,1.179e+03
110,1.166e+02,1.032e+03,1.178e+03
110,1.195e+02,1.032e+03,1.178e+03
110,1.223e+02,1.032e+03,1.177e+03
110,1.252e+02,1.031e+03,1.177e+03
110,1.280e+02,1.032e+03,1.177e+03
110,1.309e+02,1.032e+03,1.176e+03
110,1.337e+02,1.032e+03,1.177e+03
110,1.366e+02,1.031e+03,1.177e+03
110,1.394e+02,1.031e+03,1.176e+03
110,1.422e+02,1.031e+03,1.176e+03
110,1.451e+02,1.031e+03,1.176e+03
110,1.479e+02,1.032e+03,1.176e+03
110,1.508e+02,1.032e+03,1.176e+03
110,1.536e+02,1.032e+03,1.176e+03
110,1.565e+02,1.033e+03,1.177e+03
110,1.593e+02,1.035e+03,1.176e+03
110,1.622e+02,1.034e+03,1.176e+03
110,1.650e+02,1.035e+03,1.175e+03
110,1.679e+02,1.035e+03,1.175e+03
110,1.707e+02,1.035e+03,1.175e+03
110,1.735e+02,1.035e+03,1.175e+03
110,1.764e+02,1.035e+03,1.175e+03
110,1.792e+02,1.035e+03,1.175e+03
110,1.821e+02,1.033e+03,1.176e+03
110,1.849e+02,1.036e+03,1.175e+03
110,1.878e+02,1.036e+03,1.175e+03
110,1.906e+02,1.037e+03,1.174e+03
110,1.963e+02,1.037e+03,1.174e+03
110,1.992e+02,1.036e+03,1.174e+03
110,2.020e+02,1.034e+03,1.175e+03
110,2.048e+02,1.034e+03,1.174e+03
110,2.077e+02,1.035e+03,1.175e+03
110,2.105e+02,1.036e+03,1.175e+03
110,2.134e+02,1.037e+03,1.174e+03
110,2.162e+02,1.038e+03,1.174e+03
110,2.191e+02,1.039e+03,1.173e+03
110,2.219e+02,1.040e+03,1.172e+03
110,2.248e+02,1.040e+03,1.172e+03
110,2.276e+02,1.041e+03,1.171e+03
110,2.304e+02,1.041e+03,1.171e+03
110,2.333e+02,1.041e+03,1.170e+03
110,2.361e+02,1.041e+03,1.169e+03
110,2.390e+02,1.041e+03,1.169e+03
110,2.418e+02,1.042e+03,1.168e+03
110,2.447e+02,1.042e+03,1.167e+03
110,2.475e+02,1.042e+03,1.167e+03
110,2.504e+02,1.043e+03,1.166e+03
110,2.532e+02,1.043e+03,1.166e+03
110,2.561e+02,1.043e+03,1.166e+03
110,2.589e+02,1.043e+03,1.165e+03
110,2.617e+02,1.044e+03,1.164e+03
110,2.646e+02,1.044e+03,1.163e+03
110,2.674e+02,1.044e+03,1.163e+03
110,2.703e+02,1.044e+03,1.163e+03
110,2.731e+02,1.045e+03,1.162e+03
110,2.760e+02,1.044e+03,1.162e+03
110,2.788e+02,1.045e+03,1.162e+03
110,2.817e+02,1.045e+03,1.162e+03
110,2.845e+02,1.045e+03,1.162e+03
110,2.873e+02,1.045e+03,1.162e+03
110,2.902e+02,1.044e+03,1.162e+03
110,2.930e+02,1.045e+03,1.162e+03
110,2.959e+02,1.045e+03,1.162e+03
110,2.987e+02,1.045e+03,1.162e+03
110,3.016e+02,1.045e+03,1.162e+03
110,3.044e+02,1.044e+03,1.162e+03
110,3.073e+02,1.044e+03,1.162e+03
110,3.101e+02,1.045e+03,1.161e+03
110,3.130e+02,1.045e+03,1.161e+03
110,3.158e+02,1.045e+03,1.161e+03
110,3.186e+02,1.045e+03,1.161e+03
110,3.215e+02,1.045e+03,1.161e+03
110,3.243e+02,1.045e+03,1.161e+03
110,3.272e+02,1.045e+03,1.161e+03
110,3.300e+02,1.045e+03,1.162e+03
110,3.329e+02,1.045e+03,1.162e+03
110,3.357e+02,1.045e+03,1.162e+03
110,3.386e+02,1.046e+03,1.163e+03
110,3.471e+02,1.047e+03,1.164e+03
110,3.556e+02,1.048e+03,1.166e+03
158,2.845e+00,7.702e+01,5.426e+02
158,5.690e+00,7.707e+01,5.424e+02
158,8.535e+00,7.673e+01,5.419e+02
158,1.138e+01,7.591e+01,5.420e+02
158,1.423e+01,7.496e+01,5.420e+02
158,1.707e+01,7.401e+01,5.425e+02
158,1.992e+01,7.337e+01,5.440e+02
158,2.276e+01,7.307e+01,5.445e+02
158,2.561e+01,7.399e+01,5.449e+02
158,2.845e+01,7.435e+01,5.460e+02
158,3.130e+01,7.525e+01,5.464e+02
158,3.414e+01,7.518e+01,5.466e+02
158,3.698e+01,7.524e+01,5.465e+02
158,3.983e+01,7.502e+01,5.465e+02
158,4.268e+01,7.639e+01,5.479e+02
158,4.552e+01,7.785e+01,5.484e+02
158,4.837e+01,8.203e+01,5.479e+02
158,5.121e+01,8.247e+01,5.479e+02
158,5.406e+01,8.254e+01,5.464e+02
158,5.690e+01,8.222e+01,5.455e+02
158,5.975e+01,8.189e+01,5.467e+02
158,6.259e+01,8.157e+01,5.483e+02
158,6.544e+01,8.270e+01,5.480e+02
158,6.828e+01,8.319e+01,5.474e+02
158,7.112e+01,8.396e+01,5.465e+02
158,7.397e+01,8.328e+01,5.465e+02
158,7.682e+01,8.407e+01,5.454e+02
158,7.966e+01,8.338e+01,5.454e+02
158,8.251e+01,8.255e+01,5.442e+02
158,8.535e+01,8.152e+01,5.428e+02
158,8.820e+01,8.174e+01,5.429e+02
158,9.104e+01,8.133e+01,5.438e+02
158,9.389e+01,8.134e+01,5.430e+02
158,9.673e+01,8.207e+01,5.427e+02
158,9.958e+01,8.174e+01,5.420e+02
158,1.024e+02,8.177e+01,5.409e+02
158,1.053e+02,8.092e+01,5.411e+02
158,1.081e+02,8.046e+01,5.418e+02
158,1.110e+02,8.051e+01,5.426e+02
158,1.138e+02,8.130e+01,5.422e+02
158,1.166e+02,8.120e+01,5.422e+02
158,1.195e+02,8.104e+01,5.408e+02
158,1.223e+02,8.207e+01,5.416e+02
158,1.252e+02,8.148e+01,5.410e+02
158,1.280e+02,8.095e+01,5.405e+02
158,1.309e+02,8.046e+01,5.405e+02
158,1.337e+02,8.047e+01,5.410e+02
158,1.366e+02,7.982e+01,5.409e+02
158,1.394e+02,8.014e+01,5.406e+02
158,1.422e+02,7.982e+01,5.409e+02
158,1.451e+02,7.894e+01,5.417e+02
158,1.479e+02,7.922e+01,5.413e+02
