CellID,Time(s),x(microns),y(microns)
81,2.845e+00,1.137e+03,6.416e+02
81,5.690e+00,1.137e+03,6.417e+02
81,8.535e+00,1.137e+03,6.419e+02
81,1.138e+01,1.136e+03,6.417e+02
81,1.423e+01,1.137e+03,6.416e+02
81,1.707e+01,1.137e+03,6.417e+02
81,1.992e+01,1.138e+03,6.416e+02
81,2.276e+01,1.138e+03,6.414e+02
81,2.561e+01,1.138e+03,6.416e+02
81,2.845e+01,1.139e+03,6.416e+02
81,3.130e+01,1.139e+03,6.417e+02
81,3.414e+01,1.139e+03,6.420e+02
81,3.698e+01,1.138e+03,6.419e+02
81,3.983e+01,1.139e+03,6.411e+02
81,4.268e+01,1.138e+03,6.413e+02
81,4.552e+01,1.138e+03,6.413e+02
81,4.837e+01,1.137e+03,6.416e+02
81,5.121e+01,1.138e+03,6.419e+02
81,5.406e+01,1.138e+03,6.424e+02
81,5.690e+01,1.138e+03,6.429e+02
81,5.975e+01,1.138e+03,6.430e+02
81,6.259e+01,1.138e+03,6.433e+02
81,6.544e+01,1.137e+03,6.415e+02
81,6.828e+01,1.136e+03,6.419e+02
81,7.112e+01,1.136e+03,6.426e+02
81,7.397e+01,1.135e+03,6.433e+02
81,7.682e+01,1.136e+03,6.430e+02
81,7.966e+01,1.135e+03,6.427e+02
81,8.251e+01,1.134e+03,6.427e+02
81,8.535e+01,1.133e+03,6.421e+02
81,8.820e+01,1.134e+03,6.421e+02
81,9.104e+01,1.133e+03,6.422e+02
81,9.389e+01,1.133e+03,6.426e+02
81,9.673e+01,1.133e+03,6.429e+02
81,9.958e+01,1.133e+03,6.433e+02
81,1.024e+02,1.132e+03,6.442e+02
81,1.053e+02,1.131e+03,6.453e+02
81,1.081e+02,1.130e+03,6.453e+02
81,1.110e+02,1.128e+03,6.453e+02
81,1.138e+02,1.128e+03,6.457e+02
81,1.166e+02,1.127e+03,6.460e+02
81,1.195e+02,1.127e+03,6.456e+02
81,1.223e+02,1.127e+03,6.449e+02
81,1.252e+02,1.128e+03,6.450e+02
81,1.280e+02,1.127e+03,6.450e+02
81,1.309e+02,1.127e+03,6.447e+02
81,1.337e+02,1.126e+03,6.456e+02
81,1.366e+02,1.125e+03,6.458e+02
81,1.394e+02,1.125e+03,6.460e+02
81,1.422e+02,1.125e+03,6.460e+02
81,1.451e+02,1.124e+03,6.467e+02
81,1.479e+02,1.124e+03,6.463e+02
81,1.508e+02,1.124e+03,6.460e+02
81,1.536e+02,1.124e+03,6.457e+02
81,1.565e+02,1.124e+03,6.458e+02
81,1.593e+02,1.124e+03,6.458e+02
81,1.622e+02,1.124e+03,6.457e+02
81,1.650e+02,1.125e+03,6.459e+02
81,1.679e+02,1.124e+03,6.468e+02
81,1.707e+02,1.124e+03,6.475e+02
81,1.735e+02,1.123e+03,6.489e+02
81,1.764e+02,1.123e+03,6.504e+02
81,1.792e+02,1.122e+03,6.509e+02
81,1.821e+02,1.122e+03,6.519e+02
81,1.849e+02,1.122e+03,6.527e+02
81,1.878e+02,1.122e+03,6.532e+02
81,1.906e+02,1.122e+03,6.531e+02
81,1.935e+02,1.122e+03,6.540e+02
81,1.963e+02,1.121e+03,6.552e+02
81,1.992e+02,1.121e+03,6.558e+02
81,2.020e+02,1.120e+03,6.557e+02
81,2.048e+02,1.120e+03,6.568e+02
81,2.077e+02,1.120e+03,6.584e+02
81,2.105e+02,1.120e+03,6.584e+02
81,2.134e+02,1.118e+03,6.589e+02
