CellID,Time(s),x(microns),y(microns)
162,2.845e+00,1.197e+03,6.498e+02
162,5.690e+00,1.197e+03,6.495e+02
162,8.535e+00,1.197e+03,6.494e+02
162,1.138e+01,1.197e+03,6.495e+02
162,1.423e+01,1.196e+03,6.486e+02
162,1.707e+01,1.196e+03,6.489e+02
162,1.992e+01,1.196e+03,6.487e+02
162,2.276e+01,1.195e+03,6.485e+02
162,2.561e+01,1.195e+03,6.483e+02
162,2.845e+01,1.195e+03,6.485e+02
162,3.130e+01,1.195e+03,6.480e+02
162,3.414e+01,1.194e+03,6.480e+02
162,3.698e+01,1.194e+03,6.481e+02
162,3.983e+01,1.194e+03,6.481e+02
162,4.268e+01,1.193e+03,6.477e+02
162,4.552e+01,1.194e+03,6.477e+02
162,4.837e+01,1.193e+03,6.476e+02
162,5.121e+01,1.193e+03,6.476e+02
162,5.406e+01,1.193e+03,6.476e+02
162,5.690e+01,1.193e+03,6.475e+02
162,5.975e+01,1.193e+03,6.475e+02
162,6.259e+01,1.192e+03,6.474e+02
162,6.544e+01,1.192e+03,6.474e+02
162,6.828e+01,1.192e+03,6.474e+02
162,7.112e+01,1.191e+03,6.469e+02
162,7.397e+01,1.191e+03,6.469e+02
162,7.682e+01,1.187e+03,6.452e+02
162,7.966e+01,1.187e+03,6.444e+02
162,8.251e+01,1.186e+03,6.430e+02
162,8.535e+01,1.186e+03,6.431e+02
162,8.820e+01,1.187e+03,6.432e+02
162,9.104e+01,1.186e+03,6.433e+02
162,9.389e+01,1.186e+03,6.427e+02
162,9.673e+01,1.185e+03,6.426e+02
162,9.958e+01,1.184e+03,6.418e+02
162,1.024e+02,1.183e+03,6.419e+02
162,1.053e+02,1.183e+03,6.423e+02
162,1.081e+02,1.182e+03,6.420e+02
162,1.110e+02,1.182e+03,6.419e+02
162,1.138e+02,1.180e+03,6.419e+02
162,1.166e+02,1.179e+03,6.419e+02
162,1.195e+02,1.179e+03,6.422e+02
162,1.223e+02,1.178e+03,6.422e+02
162,1.252e+02,1.177e+03,6.423e+02
162,1.280e+02,1.177e+03,6.425e+02
162,1.309e+02,1.176e+03,6.421e+02
162,1.337e+02,1.176e+03,6.424e+02
162,1.366e+02,1.176e+03,6.422e+02
162,1.394e+02,1.176e+03,6.421e+02
162,1.422e+02,1.176e+03,6.424e+02
162,1.451e+02,1.176e+03,6.415e+02
162,1.479e+02,1.176e+03,6.414e+02
162,1.508e+02,1.176e+03,6.411e+02
162,1.536e+02,1.176e+03,6.408e+02
162,1.565e+02,1.175e+03,6.406e+02
162,1.593e+02,1.176e+03,6.405e+02
162,1.622e+02,1.176e+03,6.404e+02
162,1.679e+02,1.175e+03,6.404e+02
162,1.707e+02,1.174e+03,6.400e+02
162,1.735e+02,1.175e+03,6.401e+02
162,1.764e+02,1.174e+03,6.401e+02
162,1.792e+02,1.174e+03,6.395e+02
162,1.821e+02,1.173e+03,6.393e+02
162,1.849e+02,1.174e+03,6.354e+02
162,1.878e+02,1.174e+03,6.398e+02
162,1.906e+02,1.174e+03,6.396e+02
162,2.361e+02,1.169e+03,6.390e+02
162,2.390e+02,1.169e+03,6.390e+02
162,2.418e+02,1.168e+03,6.389e+02
162,2.447e+02,1.168e+03,6.389e+02
162,2.475e+02,1.168e+03,6.390e+02
238,2.845e+00,1.194e+03,9.937e+02
238,5.690e+00,1.194e+03,9.938e+02
238,8.535e+00,1.195e+03,9.935e+02
238,1.138e+01,1.196e+03,9.930e+02
238,1.423e+01,1.195e+03,9.933e+02
238,1.707e+01,1.195e+03,9.933e+02
238,1.992e+01,1.195e+03,9.930e+02
238,2.276e+01,1.197e+03,9.926e+02
238,2.561e+01,1.196e+03,9.928e+02
238,2.845e+01,1.197e+03,9.924e+02
238,3.130e+01,1.198e+03,9.924e+02
238,3.414e+01,1.198e+03,9.918e+02
238,3.698e+01,1.198e+03,9.915e+02
