CellID,Time(s),x(microns),y(microns)
228,2.845e+00,3.675e+02,1.997e+02
228,5.690e+00,3.665e+02,1.998e+02
228,8.535e+00,3.663e+02,2.000e+02
228,1.138e+01,3.656e+02,2.002e+02
228,1.423e+01,3.653e+02,2.001e+02
228,1.707e+01,3.643e+02,2.002e+02
228,1.992e+01,3.638e+02,2.003e+02
228,2.276e+01,3.637e+02,2.002e+02
228,2.561e+01,3.632e+02,2.003e+02
228,2.845e+01,3.614e+02,2.007e+02
228,3.130e+01,3.598e+02,2.014e+02
228,3.414e+01,3.592e+02,2.015e+02
228,3.698e+01,3.586e+02,2.017e+02
228,3.983e+01,3.584e+02,2.016e+02
228,4.268e+01,3.580e+02,2.018e+02
228,4.552e+01,3.576e+02,2.020e+02
228,4.837e+01,3.567e+02,2.020e+02
228,5.121e+01,3.559e+02,2.020e+02
228,5.406e+01,3.556e+02,2.022e+02
228,5.690e+01,3.553e+02,2.022e+02
228,5.975e+01,3.552e+02,2.022e+02
228,6.259e+01,3.548e+02,2.023e+02
228,6.544e+01,3.547e+02,2.024e+02
228,6.828e+01,3.549e+02,2.024e+02
228,7.112e+01,3.550e+02,2.024e+02
228,7.397e+01,3.549e+02,2.026e+02
228,7.682e+01,3.551e+02,2.025e+02
228,7.966e+01,3.552e+02,2.028e+02
228,8.251e+01,3.551e+02,2.027e+02
228,8.535e+01,3.554e+02,2.027e+02
228,8.820e+01,3.563e+02,2.025e+02
228,9.104e+01,3.562e+02,2.027e+02
228,9.389e+01,3.564e+02,2.027e+02
228,9.673e+01,3.564e+02,2.028e+02
228,9.958e+01,3.560e+02,2.029e+02
228,1.024e+02,3.561e+02,2.028e+02
228,1.053e+02,3.561e+02,2.030e+02
228,1.081e+02,3.561e+02,2.030e+02
228,1.110e+02,3.561e+02,2.029e+02
228,1.138e+02,3.563e+02,2.027e+02
228,1.166e+02,3.562e+02,2.027e+02
228,1.195e+02,3.562e+02,2.027e+02
228,1.223e+02,3.563e+02,2.028e+02
228,1.252e+02,3.564e+02,2.026e+02
228,1.280e+02,3.563e+02,2.028e+02
228,1.309e+02,3.565e+02,2.027e+02
228,1.337e+02,3.565e+02,2.027e+02
228,1.366e+02,3.560e+02,2.031e+02
228,1.394e+02,3.551e+02,2.032e+02
228,1.422e+02,3.551e+02,2.030e+02
228,1.451e+02,3.549e+02,2.032e+02
228,1.479e+02,3.550e+02,2.031e+02
228,1.508e+02,3.548e+02,2.030e+02
228,1.536e+02,3.549e+02,2.029e+02
228,1.565e+02,3.549e+02,2.030e+02
228,1.593e+02,3.546e+02,2.032e+02
